epoch,train_loss,train_acc,train_ppl,val_loss,val_acc,val_ppl,test_loss,test_acc,test_ppl
1,2.1284127197265623,28.85,8.401520654194877,2.181435888671875,23.52,8.859017693584368,2.1782117919921875,23.22,8.83050135846567
2,2.0221875610351563,36.05,7.554833529754542,2.10556298828125,27.46,8.21172481330181,2.1076395263671874,27.04,8.228794489410427
3,1.9505809326171875,40.65,7.03277196072083,2.06581572265625,29.74,7.8917327379670015,2.064312841796875,28.57,7.879881311759295
4,1.8896240844726562,44.95,6.616880825215775,2.03096181640625,30.74,7.621413234948472,2.0295171630859374,30.56,7.610410884217899
5,1.8405799560546876,45.55,6.300191035636703,2.000895703125,31.02,7.3956774645155,2.0002878295898436,30.98,7.391183194022706
6,1.7985675659179687,46.65,6.040987946775427,1.9804619873046876,31.16,7.246089813507848,1.9785851928710938,31.63,7.232503146159453
7,1.7598521118164063,49.35,5.811577867152607,1.960518505859375,33.0,7.103009062323597,1.9581531494140625,32.67,7.086227768751526
8,1.7256943969726561,50.85,5.61641970076118,1.9466178955078124,32.48,7.00495597874881,1.94373115234375,32.36,6.984763629048714
9,1.694432861328125,52.8,5.443557837435031,1.933153515625,33.04,6.911270712736242,1.930019287109375,32.76,6.889643121600295
10,1.6650578002929688,54.25,5.28597877205269,1.923347265625,33.34,6.84382828342277,1.9190543090820313,33.03,6.814510999951613
11,1.6357491455078126,55.3,5.133302147177271,1.9101555908203125,33.26,6.7541395989024196,1.9067725952148438,33.87,6.731328980187022
12,1.6092810668945312,56.15,4.999215833800247,1.9009216552734376,34.02,6.692059372683553,1.897798095703125,33.75,6.67118893857575
13,1.5840963134765624,57.65,4.874884020385055,1.89159990234375,34.12,6.629967500787493,1.88836953125,34.45,6.6085848010425945
14,1.5596936645507813,59.1,4.757363672758417,1.8830487060546874,34.28,6.5735150592494875,1.8796626708984374,34.47,6.55129454710666
15,1.5386312866210938,57.65,4.658210151150829,1.8769107666015625,34.02,6.533290795155393,1.8729223510742188,34.61,6.507285211713295
16,1.5165975341796876,60.95,4.556694791010195,1.86849140625,34.98,6.478515575390477,1.8650628662109374,35.23,6.456341758976146
17,1.4966731567382812,61.75,4.466803967184737,1.8596206787109375,35.38,6.421300573396498,1.8572962646484374,35.26,6.406392145436351
18,1.4793770751953126,62.8,4.390210058220545,1.8549668212890624,35.62,6.39148618583028,1.8520512084960938,35.36,6.372878226924183
19,1.4620125122070313,62.95,4.314634050321868,1.8522285888671874,35.2,6.374008750692408,1.84849130859375,35.33,6.350231751855047
20,1.4454631958007813,63.85,4.2438174060362215,1.844574462890625,35.3,6.325407521980114,1.8413533203125,35.86,6.3050652627346295
21,1.4304085083007811,65.0,4.180406573945735,1.841732177734375,35.4,6.307454436054267,1.83875625,35.8,6.288711809647861
22,1.4153900756835938,66.6,4.118092520466516,1.8383437744140625,35.98,6.286118404454316,1.8343738647460937,36.28,6.261212551928898
23,1.402355224609375,67.0,4.06476212970299,1.8348625732421875,35.76,6.264273207522155,1.8311401000976562,36.37,6.240997966343959
24,1.3897882690429688,67.65,4.014000074936654,1.8322974609375,36.08,6.2482252344635665,1.8286079345703126,35.97,6.225214717769669
25,1.3772977294921875,68.1,3.964174867885851,1.82871865234375,36.24,6.225903997839463,1.8257800048828126,36.1,6.207635116911417
26,1.3665374145507811,69.3,3.9217477716488256,1.8260340576171874,36.12,6.209212383932886,1.8224651123046876,36.18,6.187091542018571
